"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2023","480.00","481.99","488.00","479.00","446.40K","0.00%"
"01/18/2023","479.99","458.20","484.00","458.20","499.57K","3.56%"
"01/17/2023","463.48","490.89","491.00","451.62","1.04M","-5.32%"
"01/16/2023","489.50","497.98","497.99","484.50","250.61K","-1.04%"
"01/13/2023","494.63","496.00","499.95","486.00","332.39K","-0.68%"
"01/12/2023","498.00","499.85","511.00","495.03","736.60K","0.20%"
"01/11/2023","497.00","502.00","502.90","495.00","473.19K","-0.21%"
"01/10/2023","498.03","495.11","507.00","491.00","409.59K","1.43%"
"01/09/2023","491.00","496.80","500.49","489.00","209.42K","-0.91%"
"01/06/2023","495.50","492.85","500.16","488.01","630.42K","1.33%"
"01/05/2023","488.99","483.50","490.50","482.50","225.99K","1.06%"
"01/04/2023","483.88","484.50","487.50","481.00","114.41K","0.27%"
"01/03/2023","482.60","484.95","485.00","478.75","208.57K","0.54%"
"01/02/2023","480.00","485.00","485.00","476.11","184.51K","0.42%"
"12/30/2022","478.00","479.88","490.00","473.58","388.71K","0.85%"
"12/29/2022","473.99","464.50","478.25","450.00","617.94K","3.27%"
"12/28/2022","459.00","477.10","479.00","448.15","1.12M","-3.16%"
"12/27/2022","474.00","489.80","489.80","474.00","325.37K","-2.29%"
"12/26/2022","485.10","488.00","495.00","482.14","194.75K","-1.00%"
"12/23/2022","490.00","498.00","498.00","486.00","328.44K","-1.15%"
"12/22/2022","495.70","492.00","499.99","488.62","320.30K","1.37%"
"12/21/2022","489.00","489.00","500.00","488.50","223.23K","-1.23%"
"12/20/2022","495.11","512.90","512.90","486.00","564.12K","-2.77%"
"12/19/2022","509.20","514.44","520.55","509.00","225.12K","-1.11%"
"12/16/2022","514.90","501.50","519.60","501.00","601.15K","2.75%"
"12/15/2022","501.11","510.00","512.49","500.00","491.43K","-1.36%"
"12/14/2022","508.00","492.20","513.00","492.15","861.11K","3.25%"
"12/13/2022","492.00","486.01","494.80","486.01","260.41K","1.03%"
"12/12/2022","487.00","485.00","490.51","484.00","210.70K","0.38%"
"12/09/2022","485.18","485.00","487.50","480.40","135.05K","0.04%"
"12/08/2022","485.00","491.50","492.00","485.00","100.40K","-0.87%"
"12/07/2022","489.25","485.00","492.00","484.95","390.83K","0.28%"
"12/06/2022","487.90","482.50","489.00","481.00","263.55K","0.41%"
"12/05/2022","485.90","498.00","498.88","482.00","258.10K","-2.30%"
"12/02/2022","497.33","501.01","505.00","494.01","323.11K","-0.94%"
"12/01/2022","502.06","500.00","507.90","499.00","336.65K","0.25%"
"11/30/2022","500.80","502.97","504.20","496.51","568.18K","0.16%"
"11/29/2022","500.00","486.89","501.25","486.89","1.05M","2.15%"
"11/28/2022","489.50","482.00","491.80","481.00","526.02K","-0.50%"
"11/25/2022","491.95","490.11","495.00","487.11","345.92K","0.58%"
"11/24/2022","489.10","500.97","501.00","487.03","665.04K","-1.79%"
"11/23/2022","498.00","485.55","499.00","483.99","1.15M","3.02%"
"11/22/2022","483.40","472.00","488.00","471.00","1.15M","3.29%"
"11/21/2022","467.99","458.78","471.99","457.90","501.15K","2.07%"
"11/18/2022","458.50","452.00","462.00","452.00","474.31K","0.68%"
"11/17/2022","455.40","455.00","463.00","450.25","359.27K","0.31%"
"11/16/2022","454.00","451.99","454.99","448.50","306.81K","0.92%"
"11/15/2022","449.88","450.95","458.51","447.98","378.52K","0.42%"
"11/14/2022","448.00","453.00","453.00","446.51","80.87K","-1.10%"
"11/11/2022","452.97","453.90","454.96","449.02","116.05K","0.02%"
"11/10/2022","452.90","448.00","455.50","448.00","589.88K","0.92%"
"11/08/2022","448.75","450.00","451.00","446.00","98.34K","-0.06%"
"11/07/2022","449.00","453.00","454.60","448.00","220.69K","-0.01%"
"11/04/2022","449.03","449.99","451.90","445.50","224.01K","-1.09%"
"11/03/2022","454.00","453.48","457.00","451.00","576.69K","0.23%"
"11/02/2022","452.98","453.00","453.50","447.61","221.12K","0.44%"
"11/01/2022","450.99","444.00","453.49","444.00","503.07K","1.55%"
"10/31/2022","444.10","439.98","444.66","436.60","204.34K","1.63%"
"10/28/2022","436.96","436.00","445.96","430.49","551.60K","0.91%"
"10/27/2022","433.01","435.00","439.00","429.10","366.31K","-0.68%"
"10/26/2022","435.99","428.90","441.40","427.10","582.34K","1.25%"
"10/25/2022","430.60","433.00","433.00","428.01","139.98K","-0.32%"
"10/24/2022","432.00","436.00","438.50","430.13","163.18K","0.05%"
"10/21/2022","431.77","431.00","434.70","422.00","256.40K","0.19%"
"10/20/2022","430.97","441.25","446.80","428.98","794.02K","-2.69%"
"10/19/2022","442.90","443.00","444.84","436.10","126.46K","0.38%"
"10/18/2022","441.24","444.44","453.60","441.01","857.57K","0.04%"
"10/17/2022","441.05","435.00","445.49","428.00","773.20K","1.13%"
"10/14/2022","436.11","445.14","446.00","435.00","523.21K","-2.02%"
"10/13/2022","445.11","425.60","449.40","425.60","1.63M","4.93%"
"10/12/2022","424.21","422.50","433.90","420.00","594.75K","0.05%"
"10/11/2022","424.00","423.00","428.40","415.50","477.93K","0.95%"
"10/10/2022","420.02","418.00","430.98","418.00","635.32K","0.69%"
"10/07/2022","417.14","415.01","440.00","413.10","2.87M","0.50%"
"10/06/2022","415.05","390.00","415.05","389.99","2.15M","7.25%"
"10/05/2022","387.00","384.02","388.60","382.50","140.31K","0.05%"
"10/04/2022","386.80","381.26","387.50","381.26","184.48K","1.52%"
"10/03/2022","381.00","378.00","385.00","376.10","168.22K","0.53%"
"09/30/2022","379.00","371.00","379.00","371.00","135.53K","1.34%"
"09/29/2022","374.00","379.00","379.50","370.00","229.35K","-1.58%"
"09/28/2022","380.00","386.79","387.00","376.76","275.65K","-1.32%"
"09/27/2022","385.10","387.00","389.00","384.02","173.06K","-0.36%"
"09/26/2022","386.50","380.21","386.50","380.21","132.99K","0.65%"
"09/23/2022","384.00","388.90","390.90","381.00","163.39K","-1.28%"
"09/22/2022","388.98","382.98","389.00","375.00","293.06K","2.01%"
"09/21/2022","381.31","388.00","388.00","381.31","99.22K","-1.85%"
"09/20/2022","388.50","392.39","392.39","384.01","148.86K","-0.38%"
"09/19/2022","390.00","391.00","394.89","390.00","228.30K","-0.20%"
"09/16/2022","390.80","393.50","400.00","389.62","337.64K","-0.05%"
"09/15/2022","390.99","392.90","397.35","387.90","554.46K","0.04%"
"09/14/2022","390.84","388.75","394.00","387.14","390.95K","0.60%"
